description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
Used - Comes with charger. In Excellent Condition,1,0.99,Used,0,None,Space Gray,16,iPad Air,1,10327
,0,80,Used,1,AT&T,Black,16,iPad 1,1,10328
Item has original packaging. Original packaging has stickers on box. Minor screen flaw (Does not ,1,97.5,Used,1,Verizon,Unknown,32,iPad 2,1,10329
,1,0.1,New other (see details),0,None,White,32,iPad 2,1,10330
"No noticeable blemishes, screen in very good shape. Has always been used with case and cover. ",1,100,Used,1,AT&T,Space Gray,128,iPad Air,1,10331
Some sighs of light wear tiny scratches,0,375,Used,1,Verizon,Unknown,64,iPad 4,1,10332
Item is in nice shape. Has a few scuffs on the backside of the iPad.,1,20,Used,0,None,White,16,iPad 1,1,10333
,1,99.75,Used,0,None,White,16,iPad 4,1,10334
This item is used but well taken care of no cosmetic wears at all . Any other questions feel free to ,0,250,Used,0,None,Unknown,16,iPad mini,0,10335
,1,70,Used,0,None,Black,16,iPad 2,1,10336
,1,100,Used,0,None,Unknown,16,iPad mini 2,1,10337
,1,400,Used,0,None,Unknown,64,iPad Air 2,1,10338
,1,48,Used,0,None,Black,16,iPad 1,1,10339
FULLY FUNCTIONAL,1,0.99,Seller refurbished,1,AT&T,Black,16,iPad 1,1,10340
,1,40,Used,Unknown,Unknown,White,Unknown,Unknown,1,10341
Previously Owned. Please read the entire auction. Tablet has only a very light scratches on back of ,1,295,Used,1,Verizon,Space Gray,16,iPad Air 2,1,10342
IN VERY GOOD CONDITION!!!!,0,130,Used,0,None,White,16,iPad mini,1,10343
,1,310,New,0,None,White,16,iPad Air 2,1,10344
The screen is broken but can be easily fixed. The isn&#039;t shattered rather just cracked and very ,1,80,Used,0,None,Unknown,16,iPad 1,1,10345
"used for a few months, still in perfect condition",0,250,Used,0,None,White,16,iPad mini Retina,1,10346
,1,150,Used,0,None,Black,64,iPad mini,0,10347
Good condition.,1,99.99,Used,0,None,Black,16,Unknown,1,10348
The screen has a few scratches. The back has scratches and scuffs and a few small dents.,1,40,Used,1,AT&T,Unknown,16,iPad 1,1,10349
,0,75,Used,0,None,Black,64,iPad 1,1,10350
,1,140,Used,0,None,Black,16,iPad 2,0,10351
,1,50,Seller refurbished,0,None,Black,32,iPad 1,1,10352
Like New,0,292.5,Used,0,None,Unknown,16,iPad Air,1,10353
,1,100,Used,0,None,Unknown,64,iPad mini,1,10354
"Minor scrapes, dings, scuffs and scratches associated with normal medium duty wear and use. No major ",1,74,Used,1,AT&T,Black,32,iPad 2,1,10355
,1,134.61,Used,0,None,White,16,iPad 3,1,10356
Excellent condition. No scratches.,1,100,New other (see details),0,None,Unknown,16,iPad mini,1,10357
,1,125,Used,0,None,White,16,iPad 2,1,10358
,0,275,Used,1,Verizon,Unknown,32,iPad mini,0,10359
used but always in case and has no dents or cracks.  works great with good battery life.,1,0.99,Used,1,Unknown,Black,32,iPad 1,1,10360
,1,75,Used,1,AT&T,Black,64,iPad 1,1,10361
4 of 5. This item is gently used. The item shows minor signs of wear and tear including scuff marks ,0,189.99,Used,1,AT&T,Unknown,16,iPad mini,0,10362
This Apple iPad Air 1st Gen 32GB is in good condition with few cosmetic flaws. Comes &amp; sold as is ,1,149.99,Used,0,None,Unknown,32,iPad Air,1,10363
,1,75,Used,1,AT&T,White,64,iPad 1,1,10364
"Comes with the OEM box, charger, and all OEM packaging &#039;as new&#039;.  Used but in excellent condition.",1,1,Used,1,Verizon,Black,16,iPad mini,1,10365
,0,99.99,Used,1,Unknown,Unknown,32,iPad 1,0,10366
,0,199.99,New other (see details),0,None,Unknown,16,iPad mini,1,10367
,1,149.99,Used,0,None,Unknown,16,iPad mini,1,10368
,0,339,Seller refurbished,1,Verizon,White,64,iPad 3,0,10369
,1,99,Used,0,None,Space Gray,16,iPad mini 2,1,10370
,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10371
,1,75,Used,0,None,Black,16,iPad 2,1,10372
,1,120,Used,0,None,Black,32,iPad 3,1,10373
"Like new, barely used",0,185.49,Used,0,None,Space Gray,16,iPad mini,0,10374
,0,350,New,0,None,White,64,iPad mini,1,10375
,1,150,Used,1,AT&T,White,16,iPad 4,1,10376
,0,179.96,Used,0,None,Space Gray,16,iPad mini,0,10377
,1,242,Used,1,Verizon,Unknown,32,iPad Air,1,10378
"Tested, Faulty Wi-Fi. See Pictures. Minor Dent on 2 Corners. Scuffs on Casing/Screen. Power Supply ",1,9.99,Used,0,None,Unknown,16,iPad 2,1,10379
,1,50,Used,0,None,Black,16,iPad 2,1,10380
,0,389.99,Used,0,None,Space Gray,16,iPad Air 2,1,10381
,0,95,Used,0,None,Unknown,32,iPad 1,0,10382
This iPad Is In Fantastic Condition. It Performs Flawlessly. Includes Accessories. See Below For ,1,264.95,Used,0,None,Black,32,iPad 4,0,10383
Great condition and lightly used!,1,75,Used,0,None,Unknown,16,iPad mini,1,10384
,0,15,Used,0,None,Black,16,Unknown,0,10385
"Good condition, minor nick on right uppser corner",0,165,Used,Unknown,Unknown,Black,32,Unknown,0,10386
"Great shape, gently used, normal wear and tear",1,49.99,Used,0,None,Unknown,32,iPad 1,1,10387
Used. Absolute must-have. Some signs of use. See photos. Comes from a smoke free and pet free home. ,1,187,Used,0,None,Unknown,32,iPad Air,1,10388
Working condition!,1,100,Used,Unknown,Unknown,Black,Unknown,Unknown,1,10389
,0,15,Used,0,None,Black,16,Unknown,0,10390
,1,29.99,Used,1,Verizon,Black,32,iPad 2,1,10391
,1,150,New,0,None,White,16,iPad mini,1,10392
,1,71,Used,0,None,Black,16,iPad 3,1,10393
"the iPad is in excellent condition. The Otterbox has some wear and tear, I took a picture of a piece ",0,200,Used,1,AT&T,Unknown,16,iPad 3,1,10394
,1,90,Used,1,Verizon,White,16,iPad 2,1,10395
,1,150,Used,0,None,White,16,iPad 2,1,10396
"Slight scratches and scuffs, Customize Blue Screen",1,0.99,Seller refurbished,0,None,Unknown,16,iPad 2,1,10397
,1,0.99,New,1,Unknown,Space Gray,16,iPad Air 2,1,10398
,1,299,New other (see details),0,None,Unknown,16,iPad Air 2,1,10399
,1,30,Used,1,Unknown,Unknown,64,iPad 1,1,10400
,1,0.99,Manufacturer refurbished,0,None,Unknown,16,iPad 4,1,10401
Good condition fully functional. Does show some signs of wear but these were used in corporate ,1,0.01,Used,1,AT&T,Unknown,16,iPad 2,1,10402
,1,0.99,Used,1,Sprint,Black,32,iPad Air,1,10403
THIS IS USED HAS VERY LITTLE WEAR HAS A SCREEN PROTECTION PLEASE LOOK AT PICTURE,1,179,Used,1,Unknown,Black,16,iPad mini,0,10404
,1,75,Used,0,None,Unknown,32,iPad 1,1,10405
Minor scratches along the side. Screen in good condition.,1,70,Used,0,None,Unknown,16,iPad mini,1,10406
Like new. Has been in case and has screen protector since day one. not a scratch on it.,1,99.99,Used,0,None,White,32,iPad 2,1,10407
,1,99.99,Used,0,None,Black,16,iPad 2,1,10408
"Excellent Pre-owned Condition, Barely Used. No cracks or major scratches.",0,175,Used,0,None,White,16,iPad 2,0,10409
,1,400,New,1,Unknown,Gold,64,iPad mini 3,1,10410
,1,150,Used,0,None,Unknown,16,iPad mini,1,10411
,1,90,Used,0,None,White,16,iPad 2,1,10412
,1,120,Used,0,None,White,16,iPad mini 2,0,10413
,0,280,Used,1,Unknown,Black,16,iPad 4,0,10414
,1,33,Used,0,None,Unknown,16,iPad 1,1,10415
,1,89.99,Used,0,None,White,16,iPad 3,0,10416
"In perfect working order. No scratches, dents, cracks, etc.",1,115,Used,0,None,Black,16,iPad 4,1,10417
,1,130,Used,1,Verizon,White,32,iPad 2,1,10418
Like New!!!,1,9.5,Used,0,None,Unknown,64,iPad 1,1,10419
THIS ITEM WAS A STORE DEMO BUT HAS 100% BEEN RESTORED TO FACTORY SETTINGS AND IS READY FOR USE. DOES ,1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,10420
,1,0.99,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,1,10421
,1,0.99,Used,0,None,Unknown,16,Unknown,1,10422
,1,350,Used,1,Verizon,Unknown,32,iPad 4,0,10423
Grade B refurbished.  No factory packaging.  Small dent in side casing (see photos).  Several ,0,249.99,Manufacturer refurbished,1,Verizon,Black,16,iPad 4,0,10424
Device is a 9/10 in fantastic condition. Has been gently used and always used in case. Both cases ,1,200,Used,0,None,White,16,iPad 4,1,10425
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,310,Used,1,Unknown,White,64,iPad 4,0,10426
,1,245,Used,1,Verizon,Unknown,32,iPad Air,1,10427
,0,458,New,1,Sprint,White,128,iPad mini 2,0,10428
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ,0,265,Used,1,Unknown,White,16,iPad 4,0,10429
,1,89,Used,1,Unknown,White,64,iPad 1,1,10430
,1,0.99,Used,1,Verizon,Unknown,32,iPad 3,1,10431
"*FREE* Same-Day Ship | Factory Refurbished | 90-Day Warranty | 100% Functional, Includes All Major ",0,228.59,Manufacturer refurbished,1,AT&T,Black,64,iPad 2,0,10432
,0,249.97,Manufacturer refurbished,0,None,Black,16,iPad 3,0,10433
This iPad is working and is tested 100%. It runs great. It is in good condition but very small light ,0,249.99,Used,0,None,Unknown,16,iPad 4,0,10434
,1,250,Used,1,AT&T,Black,64,iPad 3,1,10435
2 months old in perfect condition. Still under apple warranty. Black Apple Smart Case included.,0,500,Used,0,None,Space Gray,64,iPad Air 2,1,10436
no scratches or cosmetic defects,1,100,Used,0,None,White,64,iPad mini,1,10437
,1,1,New,0,None,Gold,64,iPad Air 2,1,10438
,1,299,Used,0,None,White,32,iPad Air,1,10439
Brand-new condition no box has charger cord is in mint condition has had a screen protector and a ,0,340,New other (see details),0,None,Unknown,16,iPad 2,0,10440
,1,0.99,Seller refurbished,0,None,Unknown,32,iPad 1,1,10441
,1,9.99,Used,0,None,White,16,iPad 3,1,10442
used but in excellent condition no scratches no ding no dent never been dropped has a zagg screen ,1,50,Used,0,None,Unknown,32,iPad mini,1,10443
,1,25,Used,0,None,Unknown,64,iPad 2,1,10444
,1,99.99,Used,0,None,White,32,iPad 4,1,10445
In great condition and fully functional. Does not include box.,1,0.01,Used,0,None,Unknown,16,iPad 1,1,10446
,1,248.18,Used,0,None,Unknown,32,iPad mini 2,1,10447
,1,50,Used,0,None,Unknown,32,iPad 1,1,10448
"Two scratches (top right, bottom left)",1,200,Used,0,None,Unknown,16,iPad Air,1,10449
Small dent in upper left corner,1,0.99,Used,0,None,Unknown,32,iPad 1,1,10450
,0,185,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,10451
"ABSOLUTELY NO DENTS, DINGS, OR SCRATCHES.",1,1.99,Used,1,Unknown,Space Gray,128,iPad Air 2,1,10452
,0,325,New,0,None,Black,16,iPad mini 3,1,10453
,1,125,Used,0,None,White,16,iPad 4,1,10454
,1,190,Used,0,None,Unknown,16,iPad 3,0,10455
,1,150,Used,0,None,White,16,iPad 4,1,10456
,1,125,Used,0,None,White,16,iPad 2,1,10457
,0,229.99,Used,1,Verizon,Space Gray,64,iPad 1,1,10458
,1,0.99,New,1,Unknown,Unknown,64,iPad mini 3,1,10459
,1,0.99,Used,0,None,Unknown,16,iPad mini,1,10460
Excellent condition.,0,400,Used,0,None,Unknown,64,iPad Air,0,10461
,1,199,Used,1,AT&T,Space Gray,16,iPad mini 3,1,10462
,1,40,Used,0,None,White,16,iPad 2,1,10463
cracked screen but fully functional. A replacement screen is included for you to install. minor ,1,75,Used,1,Unknown,White,32,iPad 2,1,10464
This device has been updated to iOS 7 or higher. This device is in good condition with few markings ,0,188.99,Used,0,None,White,16,iPad 3,0,10465
Device is in EXCELLENT used cosmetic condition.Device is in 100% working condition. It has  been ,0,99.94,Used,0,None,Unknown,32,iPad 1,0,10466
iPad is in good working condition. Includes power adapter and Lightning USB charging cable. iPad has ,1,249.98,Used,1,AT&T,Space Gray,32,iPad Air,1,10467
,1,299,Used,0,None,Space Gray,64,iPad Air,1,10468
"iPad is used, in normal used condition. Shows some minor wear from regular use, but nothing major. ",0,225,Used,Unknown,Unknown,Unknown,Unknown,iPad 3,0,10469
,1,19.99,Used,0,None,Black,32,iPad 1,1,10470
Used Apple Ipad 64 gig 1st generation in Great working condition and 100% functional SIM card AT&amp;T ,0,110,Seller refurbished,0,None,Black,32,iPad 1,0,10471
,1,200,Used,0,None,White,16,iPad 3,0,10472
,1,249,New,1,AT&T,Space Gray,16,iPad mini,0,10473
,1,125,Used,0,None,Black,32,iPad 2,1,10474
,1,1,Used,1,AT&T,Unknown,16,iPad 2,1,10475
,1,60,Used,0,None,Unknown,16,iPad mini,1,10476
,1,179.99,Used,1,Unknown,White,32,iPad 3,1,10477
,1,5,Used,Unknown,Unknown,White,16,Unknown,1,10478
,1,90,Used,0,None,White,16,iPad 2,1,10479
,1,0.99,Used,0,None,Unknown,64,iPad 1,1,10480
See photos for scuffs and speaker,1,50,Used,0,None,Unknown,16,iPad mini,1,10481
,0,115,Used,0,None,Space Gray,16,iPad mini,1,10482
It&#039;s in good condition. There are minor scratches and discoloration for normal wear in the back. NO ,0,249,Used,1,Verizon,Black,64,iPad mini,0,10483
,1,50,Used,1,AT&T,Black,64,iPad 1,1,10484
Perfect condition,0,252.99,Manufacturer refurbished,1,AT&T,Black,16,iPad 3,0,10485
,1,1,Used,0,None,Unknown,32,iPad Air,1,10486
,1,80,Used,0,None,Black,16,iPad 2,1,10487
,1,40,Used,0,None,Unknown,16,iPad mini,0,10488
In very good condition. Item does not have any marks of wear or damages. It is working to 100% ,1,100,Used,0,None,Unknown,32,iPad 4,0,10489
,0,408,Manufacturer refurbished,1,Verizon,Unknown,64,iPad Air,1,10490
"Cracked screen, flaw is shown in picture, everything is fully functional and ",1,5,Used,0,None,Unknown,16,iPad mini,0,10491
,1,125,Used,0,None,Unknown,16,iPad mini,1,10492
,1,49.99,Used,0,None,Black,16,iPad 2,1,10493
,0,124.95,Used,0,None,White,16,iPad 1,0,10494
,1,159.99,Used,0,None,Unknown,16,iPad mini,0,10495
,1,130,Used,0,None,White,16,iPad 2,1,10496
,1,0.99,Used,1,Verizon,Unknown,16,iPad 3,1,10497
,0,89.99,Used,0,None,Black,16,iPad mini,0,10498
Item has Original packaging. Original packaging has stickers on box. Device has heavy scratches and ,1,111.5,Used,0,None,Unknown,16,iPad 2,1,10499
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,315,Used,1,Verizon,White,32,iPad 2,0,10500
,1,199.99,Used,0,None,White,16,iPad 4,1,10501
,1,160,Used,1,AT&T,White,16,iPad 4,1,10502
"Be advised the iPad you receive will be in fair condition, including considerable wear and scratches ",0,184.99,Used,1,AT&T,Unknown,64,iPad 2,0,10503
,1,150,Used,1,Verizon,White,32,iPad 2,0,10504
,1,75,Used,0,None,Black,16,iPad 2,1,10505
"Working. Tested wifi, sound, charge port, buttons. Scratched case. Light scratches on lcd. No ",0,200,Used,1,Verizon,Space Gray,16,iPad mini 2,0,10506
,1,118,Used,0,None,Unknown,16,iPad mini,1,10507
,0,199.99,Used,0,None,White,16,iPad 4,0,10508
,1,250,Used,1,AT&T,Black,16,iPad mini 2,1,10509
,1,99,Used,0,None,Space Gray,16,iPad mini 3,1,10510
,1,150,New,0,None,Unknown,16,iPad mini,1,10511
no original box,0,79,Used,0,None,Unknown,16,iPad 1,0,10512
,0,399.99,New,0,None,Space Gray,32,iPad mini 2,0,10513
,1,59.99,Used,0,None,Black,16,iPad mini,1,10514
USED BUT EXCELLENT CONDITION,0,210,Used,0,None,White,64,iPad 2,1,10515
,1,92.49,Used,0,None,Unknown,16,iPad 2,1,10516
,1,99,Used,0,None,Unknown,16,iPad mini,1,10517
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,154,Used,1,Verizon,White,32,iPad 2,0,10518
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ,1,149.99,Used,0,None,Unknown,16,iPad Air,1,10519
"Apple iPad mini 1st Generation 16GB, Wi-Fi, 7.9in - Space Gray, great condition comes with the ",0,169.99,Used,0,None,Space Gray,16,iPad mini,0,10520
,1,120,Used,1,Unknown,White,64,iPad 2,1,10521
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,195,Used,0,None,White,64,iPad 2,0,10522
,0,425,Used,1,AT&T,Gold,16,iPad Air 2,0,10523
,1,200,Used,0,None,Space Gray,64,iPad mini 2,1,10524
,0,300,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,10525
"Mint condition, no problem, excellent condition",1,69,Used,0,None,Black,32,iPad 1,0,10526
,1,300,Seller refurbished,0,None,White,32,iPad 4,0,10527
Good condition and functional 16GB iPad Mini Wifi - White. Please read full discription,1,149,Used,0,None,White,16,iPad mini,0,10528
Great shape very minimal scratches. Comes with a BEETLE defense case. Does not come with cord or ,1,150,Used,0,None,Unknown,16,iPad mini,0,10529
,1,110,Used,1,Verizon,Unknown,16,iPad mini,1,10530
"No box, purchased for company demo but never used.",1,99,New other (see details),0,None,White,16,iPad 2,1,10531
iPad has been tested and is in good working condition; Includes AC adapter USB cable; Screen and ,1,224.98,Used,0,None,White,32,iPad 4,0,10532
,1,99.99,Used,0,None,Unknown,16,iPad Air,1,10533
,0,89,Used,1,AT&T,Unknown,64,iPad 1,1,10534
,1,380,New,0,None,White,128,iPad Air 2,1,10535
The iPad is in pretty good shape. No dents or dings. Normal wear from normal use. There are some ,1,149.99,Used,1,Verizon,Black,32,iPad 2,1,10536
,0,14,Used,0,None,Black,16,Unknown,0,10537
,1,120,Used,0,None,Space Gray,16,iPad mini 2,1,10538
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ,0,149,Used,1,Verizon,White,16,iPad 2,0,10539
Excellent condition,1,99.99,Used,0,None,White,16,iPad 2,1,10540
,1,400,Used,0,None,Space Gray,16,iPad Air,0,10541
Screen is perfect with a few minor scratches on the back (see photos),1,0.01,Used,0,None,Unknown,16,iPad 3,1,10542
No marks or blemishes,1,0.01,Used,0,None,Unknown,16,iPad mini,1,10543
New condition 10/10 no blemishes.,0,475,Used,0,None,Gold,64,iPad Air 2,1,10544
,1,99,Used,0,None,Black,64,iPad mini,1,10545
Please read details below.,0,394.99,Used,0,None,Unknown,16,iPad Air 2,0,10546
,0,175,Used,0,None,Unknown,16,iPad mini,0,10547
"this iPad is in absolutely perfect condition, everything inside it works seamlessly and not a ",1,50,Used,0,None,Unknown,16,iPad mini,1,10548
,1,300,New,0,None,Unknown,128,iPad Air 2,1,10549
,0,399.99,New,1,Verizon,Space Gray,64,iPad mini,0,10550
,1,9.95,Used,0,None,Unknown,32,iPad 1,1,10551
some light scratches and/or nicks from normal daily use. iPad is fully functional.,1,59,Used,0,None,Unknown,32,iPad 1,1,10552
,1,50,Used,0,None,Unknown,64,Unknown,1,10553
Great Condition - no cracks or scratches on the screen,0,234,Used,0,None,White,16,iPad 3,0,10554
,0,349.99,New,0,None,Gold,16,iPad mini 3,0,10555
,1,72,Used,0,None,Space Gray,16,iPad 1,1,10556
condition is 9 out of 10,0,170,Used,0,None,Space Gray,32,Unknown,1,10557
,1,0.99,Used,0,None,Unknown,16,iPad mini,1,10558
"Really good condition, been in otterbox day 1. This is the iPad 4 to get!",0,325,Used,1,AT&T,Black,32,iPad 4,0,10559
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,140,Used,1,Verizon,White,16,iPad 2,0,10560
,1,0.01,Used,0,None,Unknown,16,iPad 2,1,10561
conditions are good no dents minimal signs of usage .... No icloud attached,0,147.59,Used,0,None,Black,16,iPad 2,1,10562
"Used. Tested Cameras, speaker, charge port, headphone jack, buttons and touch. Has light scratches ",0,399.99,Used,1,AT&T,Gold,16,iPad Air 2,0,10563
,1,95,Used,0,None,Unknown,64,iPad 1,0,10564
"This iPad Air is in EXCELLENT to LIKE NEW condition!   Included is the iPad Air 2, retail box, ",0,499,Used,1,Verizon,Gold,64,iPad Air 2,0,10565
,1,45,Used,0,None,Black,16,iPad mini,1,10566
This iPad is a used one but works great. It has some scratches on the rear as shown in the photos ,1,125,Used,0,None,Space Gray,16,iPad 2,0,10567
,0,82.95,Used,0,None,Unknown,16,iPad 1,0,10568
,1,150,Used,0,None,White,32,iPad 2,0,10569
,1,0.99,Used,1,AT&T,Black,16,iPad 4,1,10570
I take really good care of my toys. the iPad is in great condition :),1,199.99,Used,1,AT&T,White,16,iPad Air,1,10571
"No scratches, dents, drops or liquid damage.",1,185,Used,0,None,Unknown,16,iPad Air,1,10572
"Like new white iPad mini no scratches always kept in case, sold with keyboard, box and cords",1,201.99,Used,0,None,Unknown,16,iPad mini 2,1,10573
"Minor crack in top-back housing, minor dent in lower right housing.",0,289.99,Used,1,AT&T,Unknown,32,iPad 4,0,10574
,0,219.99,Used,1,AT&T,White,16,iPad mini,0,10575
,1,89.99,Used,0,None,Black,16,iPad Air,1,10576
"Device is factory unlocked and has protective film installed, comes with 360 degree black rotation ",1,279,Used,1,Verizon,Black,16,iPad Air,1,10577
,1,150,Used,0,None,Unknown,64,iPad mini,1,10578
This is a Seller refurbished item and will show signs of cosmetic use. The unit will be 100% working ,1,0.99,Seller refurbished,0,None,White,64,iPad 3,1,10579
,1,49.99,Used,1,AT&T,White,64,iPad Air,1,10580
"Perfectly good iPad 64gb 1st Generation. Works great, no cracks just a few scratches on the back. ",1,75,Seller refurbished,0,None,Unknown,64,iPad 1,0,10581
,1,149.99,Manufacturer refurbished,1,Unknown,Black,16,Unknown,1,10582
"In Great Condition, with very minor scratches on back. Screen is in great condition. No Cracks.",0,275,Used,0,None,White,32,iPad 3,0,10583
"Zero Defects, Zero Scratches, Zero Dead Pixels! Absolutely Mint Condition. Exact same condition as ",1,249,Used,0,None,White,16,iPad Air,1,10584
,1,0.99,Used,Unknown,Unknown,Black,Unknown,Unknown,1,10585
Those used TAB are in good condition with minor scratches on the housing or screen (when the phone ,0,198,Used,1,Verizon,White,32,iPad 1,0,10586
"Working.  Tested buttons, wifi, sound, camera, touch. Scratched case. Light scratches on lcd. Dust ",0,300,Used,1,AT&T,Space Gray,64,iPad Air,0,10587
,1,111,Used,1,Verizon,Black,16,iPad 2,1,10588
,1,100,Used,0,None,Black,16,iPad 2,1,10589
,0,410,Used,1,Sprint,Space Gray,16,iPad Air 2,0,10590
,0,150,Used,0,None,Black,16,iPad 2,0,10591
,1,300,Used,0,None,Space Gray,64,iPad mini 3,1,10592
"iCloud Locked. For Use if you can unlock it, or parts.",1,100,Used,0,None,Space Gray,16,iPad Air,1,10593
,0,60,Used,0,None,White,64,iPad Air 2,0,10594
,1,113,Used,0,None,White,16,iPad mini,0,10595
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ",0,155,Used,1,Verizon,White,64,iPad 2,0,10596
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,90,Used,1,AT&T,White,32,Unknown,0,10597
,1,180,New other (see details),1,Verizon,Black,32,iPad 3,1,10598
,1,99.99,Used,1,AT&T,Black,64,iPad 2,1,10599
Sometimes the iPad shuts off and then turns back on. The exterior is in mint condition.,1,30,Used,0,None,Unknown,16,iPad 2,1,10600
Manufacture refurbished to like new conditions. Apple warranty until September 2015,0,699.95,Manufacturer refurbished,0,None,Black,64,iPad 3,0,10601
,1,275,Used,Unknown,Unknown,Unknown,128,Unknown,0,10602
,1,94.99,Used,1,AT&T,Black,64,iPad 1,0,10603
,1,0.99,Used,1,Verizon,Black,64,iPad 3,1,10604
"Working. Tested Wifi, touch, sound, buttons, camera, charge port. Scratched case. Light scratches on ",0,550,Used,1,Unknown,Unknown,128,iPad Air 2,0,10605
,1,0.99,Used,0,None,Unknown,16,iPad mini,1,10606
,1,210,New,Unknown,Unknown,Black,Unknown,Unknown,0,10607
,1,179,Used,1,Verizon,Black,16,iPad 3,1,10608
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,80,Used,0,None,White,16,Unknown,0,10609
Excellent condition. Always in an iPad case of cover.,0,155,Used,0,None,Unknown,16,iPad 2,1,10610
,0,150,Used,Unknown,Unknown,White,Unknown,Unknown,1,10611
,0,209,Used,1,AT&T,Unknown,16,iPad 4,1,10612
,0,439.99,New,1,Sprint,Black,16,iPad Air,0,10613
,0,349.99,Used,1,Verizon,White,32,iPad mini 2,0,10614
,1,200,Used,0,None,Unknown,64,iPad 4,1,10615
,1,150,Used,0,None,Unknown,32,iPad mini,1,10616
"This a used Apple iPad 2 64GB, Wi-Fi, 9.7in - White (MC991LL/A) shows signs of wear, has been ",1,0.99,Used,0,None,White,64,iPad 2,1,10617
Nice Apple iPad Mini 16GB Wi-Fi 7.9&#034; Space Gray MF432LL/A A1432 Locked It does work just cannot ,1,100,Used,0,None,Black,16,iPad mini,1,10618
,1,395,Manufacturer refurbished,0,None,Space Gray,64,iPad Air 2,0,10619
"Tested, Faulty Camera. Normal Wear and Tear on Screen. Dent on Corners. Power Supply Included.",1,9.99,Used,0,None,Unknown,16,iPad 2,1,10620
"Like new, hardly ever used.",1,125,Used,0,None,Unknown,32,iPad 2,1,10621
This item is in Heavily Used cosmetic condition. Brand New Scratch-Free Screen! 100% Fully ,0,208.99,Used,0,None,Black,64,iPad mini,0,10622
,1,9.99,Used,Unknown,Unknown,White,Unknown,iPad 2,1,10623
excellent,1,0.01,Used,0,None,Black,16,iPad 3,1,10624
,0,559.99,Used,1,AT&T,White,64,iPad Air 2,1,10625
"Mint condition! Not a scratch on it and comes with a case cover (black),charger and cable",1,60,Used,0,None,Space Gray,32,iPad 1,1,10626
"Power cord works, however is beginning to crack. (Please see picture). VERY small dents in top and ",1,39.99,Used,0,None,White,16,iPad 2,1,10627
,1,175,Used,1,Verizon,Black,64,iPad 2,0,10628
This iPad has damage on the bottom corners but it is fully operational and functions as intended. ,0,229.98,Used,0,None,White,16,iPad 3,0,10629
,0,180,Used,0,None,Black,32,iPad 2,1,10630
Very good condition. Minor bumps and bruises. Only scratches on screen are in non-viewing black ,1,0.01,Used,1,AT&T,Unknown,16,iPad 2,1,10631
,0,120,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,10632
"Small crack on top left screen, nothing major",1,50,Used,0,None,Black,32,iPad 4,1,10633
In PRISTINE condition. Not a scratch or nick on it. Was always in a case (not included.). Works ,1,145,Used,0,None,White,32,iPad mini 2,1,10634
,1,9.95,Used,Unknown,Unknown,Unknown,64,iPad mini 3,1,10635
"Used, been in case and screen protector since day 1. Literally flawless!",1,299,Used,1,Unknown,Unknown,64,iPad mini 2,1,10636
,0,560,New,0,None,Unknown,64,iPad Air 2,0,10637
,0,159.95,New other (see details),0,None,Unknown,32,iPad 1,0,10638
Works perfectly a few tears in the cover. Some scratches but screen is clear,1,49.95,Used,0,None,Unknown,64,Unknown,1,10639
,1,0.99,New,0,None,White,16,iPad mini,1,10640
,1,159,Used,0,None,Space Gray,16,iPad 3,1,10641
,1,50,Used,0,None,Unknown,16,iPad 3,1,10642
,0,560,New,0,None,White,64,iPad Air 2,0,10643
,0,549.9,New,1,Unknown,Gold,16,iPad Air 2,0,10644
,0,80,Used,0,None,White,32,iPad 1,0,10645
No scratches or dents. Screen protector and case has been on since day one of opening. Smart Cover ,1,149.99,Used,0,None,Unknown,32,iPad 2,1,10646
Has been covered with a Zagg InvisibleShield since it came out of the box and kept in a case.  Front ,0,449.99,Used,0,None,White,64,iPad Air,0,10647
The Apple tablet is in good condition. The ESN is clean.  Instructions and Power adapter are not ,1,79.99,Used,1,AT&T,Black,16,iPad 1,0,10648
,0,227.95,Seller refurbished,0,None,Unknown,32,iPad 2,0,10649
,0,785,New,1,Sprint,Gold,128,iPad Air 2,0,10650
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,186,Used,1,AT&T,White,16,Unknown,0,10651
